Payment_ID,Transaction_ID,Fine_Amount,Payment_Amount,Payment_Status,Payment_Date,Due_Date,Payment_Method,Created_At
PAY200000,T100000,60,60.0,Paid,2026-01-06 03:51:27,2026-01-27 03:51:27,Card,2026-01-06 03:51:27
PAY200001,T100001,0,0.0,No Fine,,,,2025-11-09 04:50:10
PAY200002,T100002,55,55.0,Paid,2026-02-14 12:59:08,2026-02-24 14:59:08,Online,2026-02-14 12:59:08
PAY200003,T100003,0,0.0,No Fine,,,,2025-11-05 03:40:00
PAY200004,T100004,0,0.0,No Fine,,,,2025-11-18 20:57:37
PAY200005,T100005,0,0.0,No Fine,,,,2026-01-11 23:11:23
PAY200006,T100006,0,0.0,No Fine,,,,2025-11-07 08:35:35
PAY200007,T100007,0,0.0,No Fine,,,,2025-12-05 20:58:59
PAY200008,T100008,0,0.0,No Fine,,,,2026-02-08 11:28:59
PAY200009,T100009,0,0.0,No Fine,,,,2025-12-17 16:58:17
PAY200010,T100010,40,24.08,Partial,2026-02-15 17:19:13,2026-02-06 11:19:13,Online,2026-02-15 17:19:13
PAY200011,T100011,0,0.0,No Fine,,,,2026-01-28 07:43:10
PAY200012,T100012,0,0.0,No Fine,,,,2025-11-18 18:07:45
PAY200013,T100013,0,0.0,No Fine,,,,2025-11-02 15:41:00
PAY200014,T100014,0,0.0,No Fine,,,,2025-11-03 00:21:58
PAY200015,T100015,0,0.0,No Fine,,,,2025-11-17 09:30:39
PAY200016,T100016,0,0.0,No Fine,,,,2026-01-26 17:43:06
PAY200017,T100017,40,40.0,Paid,2026-03-01 12:38:40,2026-03-08 03:38:40,Online,2026-03-01 12:38:40
PAY200018,T100018,0,0.0,No Fine,,,,2026-02-01 21:50:56
PAY200019,T100019,45,0.0,Unpaid,,2025-12-30 00:47:23,,2025-11-30 00:49:23
PAY200020,T100020,0,0.0,No Fine,,,,2025-12-01 11:19:07
PAY200021,T100021,60,0.0,Unpaid,,2026-02-27 04:57:45,,2026-01-28 04:59:45
PAY200022,T100022,75,0.0,Unpaid,,2026-01-06 03:13:24,,2025-12-07 03:15:24
PAY200023,T100023,40,0.0,Unpaid,,2026-03-18 09:32:51,,2026-02-16 09:34:51
PAY200024,T100024,0,0.0,No Fine,,,,2026-02-26 11:08:46
PAY200025,T100025,0,0.0,No Fine,,,,2026-02-24 09:54:10
PAY200026,T100026,0,0.0,No Fine,,,,2026-02-14 03:51:05
PAY200027,T100027,0,0.0,No Fine,,,,2026-01-31 05:19:50
PAY200028,T100028,0,0.0,No Fine,,,,2025-12-16 12:26:58
PAY200029,T100029,0,0.0,No Fine,,,,2026-01-08 01:30:43
PAY200030,T100030,0,0.0,No Fine,,,,2025-11-23 17:29:29
PAY200031,T100031,0,0.0,No Fine,,,,2026-02-22 01:51:52
PAY200032,T100032,0,0.0,No Fine,,,,2026-01-31 09:52:14
PAY200033,T100033,0,0.0,No Fine,,,,2026-01-31 05:11:23
PAY200034,T100034,0,0.0,No Fine,,,,2025-12-23 13:28:26
PAY200035,T100035,0,0.0,No Fine,,,,2026-01-28 09:44:48
PAY200036,T100036,70,47.96,Partial,2025-12-24 01:42:04,2026-01-09 23:42:04,Card,2025-12-24 01:42:04
PAY200037,T100037,0,0.0,No Fine,,,,2026-02-03 21:54:09
PAY200038,T100038,0,0.0,No Fine,,,,2026-02-19 22:12:58
PAY200039,T100039,75,75.0,Paid,2025-12-11 16:14:11,2025-12-22 00:14:11,Card,2025-12-11 16:14:11
PAY200040,T100040,0,0.0,No Fine,,,,2025-12-30 05:24:18
PAY200041,T100041,0,0.0,No Fine,,,,2026-02-18 09:30:22
PAY200042,T100042,0,0.0,No Fine,,,,2025-11-26 23:53:00
PAY200043,T100043,0,0.0,No Fine,,,,2025-11-03 19:53:40
PAY200044,T100044,0,0.0,No Fine,,,,2025-12-03 07:12:42
PAY200045,T100045,50,50.0,Paid,2026-02-28 00:24:34,2026-03-02 23:24:34,Card,2026-02-28 00:24:34
PAY200046,T100046,0,0.0,No Fine,,,,2025-12-16 08:28:29
PAY200047,T100047,0,0.0,No Fine,,,,2025-12-07 02:11:29
PAY200048,T100048,50,50.0,Paid,2025-12-21 06:59:19,2026-01-06 14:59:19,Card,2025-12-21 06:59:19
PAY200049,T100049,0,0.0,No Fine,,,,2026-02-25 10:19:13
PAY200050,T100050,0,0.0,No Fine,,,,2025-12-01 03:14:07
PAY200051,T100051,0,0.0,No Fine,,,,2025-12-18 12:22:03
