Transaction_ID,Vehicle_ID,Permit_ID,Parking_Space_ID,Zone_ID,Zone_Name,Zone_Type,Event_Time,System_Time_Stamp,Permit_Start_Time,Permit_End_Time,Permit_Status,Occupancy_Status,Violation_Type,Violation_Status,Fine_Amount,Created_At,Updated_At
T100000,V93810,P46802,S3613,Z007,Student Housing,Campus,2025-12-28 03:51:27,2025-12-28 03:55:11,2025-11-30 12:51:27,2026-01-07 19:51:27,Active,Occupied,No Permit,Paid,60,2025-12-28 02:05:27,2025-12-28 03:55:11
T100001,V24592,P70375,S2857,Z004,Transit Hub,Commercial,2025-11-09 04:48:10,2025-11-09 04:51:20,2025-11-01 17:48:10,2025-12-14 15:48:10,Active,Vacant,,Closed,0,2025-11-09 04:41:10,2025-11-09 04:51:20
T100002,V13278,P38018,S6479,Z005,Riverfront,Mixed Use,2026-01-25 14:59:08,2026-01-25 15:00:44,2026-01-13 05:59:08,2026-02-09 22:59:08,Active,Occupied,Improper Parking,Paid,55,2026-01-25 13:23:08,2026-01-25 15:00:44
T100003,V46048,P74792,S6070,Z007,Student Housing,Campus,2025-11-05 03:38:00,2025-11-05 03:40:25,2025-08-26 03:38:00,2025-11-03 22:38:00,Expired,Occupied,,Closed,0,2025-11-05 02:42:00,2025-11-05 03:40:25
T100004,V42098,P73886,S3235,Z003,Residential North,Residential,2025-11-18 20:55:37,2025-11-18 20:56:05,2025-11-16 02:55:37,2025-11-24 17:55:37,Active,Vacant,,Closed,0,2025-11-18 20:09:37,2025-11-18 20:56:05
T100005,V39256,P84835,S6763,Z008,Old Town,Mixed Use,2026-01-11 23:09:23,2026-01-11 23:11:23,2025-12-18 21:09:23,2026-01-19 15:09:23,Active,Occupied,,Closed,0,2026-01-11 22:28:23,2026-01-11 23:11:23
T100006,V28289,P65380,S6101,Z005,Riverfront,Mixed Use,2025-11-07 08:33:35,2025-11-07 08:37:02,2025-10-30 21:33:35,2025-11-11 07:33:35,Active,Occupied,,Closed,0,2025-11-07 07:48:35,2025-11-07 08:37:02
T100007,V23434,P28040,S3497,Z005,Riverfront,Mixed Use,2025-12-05 20:56:59,2025-12-05 21:00:35,2025-12-01 13:56:59,2026-01-17 03:56:59,Active,Occupied,,Closed,0,2025-12-05 19:58:59,2025-12-05 21:00:35
T100008,V98696,P62563,S9304,Z007,Student Housing,Campus,2026-02-08 11:26:59,2026-02-08 11:27:57,2026-01-12 00:26:59,2026-02-09 20:26:59,Active,Occupied,,Closed,0,2026-02-08 10:01:59,2026-02-08 11:27:57
T100009,V81482,P98432,S5058,Z002,Campus East,Campus,2025-12-17 16:56:17,2025-12-17 16:58:26,2025-12-16 12:56:17,2025-12-31 07:56:17,Active,Occupied,,Closed,0,2025-12-17 15:15:17,2025-12-17 16:58:26
T100010,V21395,P35782,S2665,Z003,Residential North,Residential,2026-01-07 11:19:13,2026-01-07 11:20:06,2025-10-14 11:19:13,2026-01-05 05:19:13,Expired,Occupied,Overtime Parking,Issued,40,2026-01-07 11:09:13,2026-01-07 11:20:06
