Audit_ID,Transaction_ID,Appeal_ID,Appeal_Status,Appeal_Date,Appeal_Reason,Data_Source_System,Data_Sync_Status,Sync_Time,Sensor_ID,Sensor_Occupancy_Status,Record_Status,Created_At
AUD300000,T100000,,None,,,Payment Gateway,True,2025-12-28 03:54:08,SEN447,Occupied,Matched,2025-12-28 03:56:27
AUD300001,T100001,,None,,,Payment Gateway,True,2025-11-09 04:49:31,SEN131,Vacant,Matched,2025-11-09 04:53:10
AUD300002,T100002,,None,,,Permit Portal,True,2026-01-25 15:04:06,SEN233,Occupied,Matched,2026-01-25 15:04:08
AUD300003,T100003,,None,,,Enforcement App,True,2025-11-05 03:38:28,SEN863,Vacant,Review Needed,2025-11-05 03:43:00
AUD300004,T100004,,None,,,Enforcement App,True,2025-11-18 20:56:39,SEN700,Occupied,Matched,2025-11-18 21:00:37
AUD300005,T100005,,None,,,Permit Portal,True,2026-01-11 23:11:26,SEN850,Vacant,Matched,2026-01-11 23:14:23
AUD300006,T100006,,None,,,Enforcement App,False,2025-11-07 08:42:56,SEN149,Occupied,Duplicate,2025-11-07 08:38:35
AUD300007,T100007,,None,,,Sensor Network,True,2025-12-05 21:01:01,SEN893,Vacant,Pending,2025-12-05 21:01:59
AUD300008,T100008,,None,,,Enforcement App,True,2026-02-08 11:27:30,SEN632,Occupied,Matched,2026-02-08 11:31:59
AUD300009,T100009,,None,,,Permit Portal,True,2025-12-17 16:59:45,SEN640,Occupied,Matched,2025-12-17 17:01:17
AUD300010,T100010,,None,,,Enforcement App,True,2026-01-07 11:20:52,SEN138,Occupied,Matched,2026-01-07 11:24:13
AUD300011,T100011,,None,,,Enforcement App,True,2026-01-28 07:42:10,SEN793,Occupied,Matched,2026-01-28 07:46:10
AUD300012,T100012,,None,,,Enforcement App,True,2025-11-18 18:07:43,SEN525,Occupied,Review Needed,2025-11-18 18:10:45
AUD300013,T100013,,None,,,Enforcement App,True,2025-11-02 15:41:41,SEN406,Occupied,Matched,2025-11-02 15:44:00
AUD300014,T100014,,None,,,Payment Gateway,True,2025-11-03 00:21:16,SEN182,Occupied,Matched,2025-11-03 00:24:58
AUD300015,T100015,,None,,,Permit Portal,True,2025-11-17 09:33:27,SEN891,Occupied,Matched,2025-11-17 09:33:39
AUD300016,T100016,,None,,,Sensor Network,True,2026-01-26 17:42:04,SEN108,Occupied,Matched,2026-01-26 17:46:06
AUD300017,T100017,,None,,,Enforcement App,True,2026-02-06 03:42:51,SEN191,Occupied,Matched,2026-02-06 03:43:40
AUD300018,T100018,,None,,,Payment Gateway,True,2026-02-01 21:52:39,SEN214,Vacant,Review Needed,2026-02-01 21:53:56
AUD300019,T100019,,None,,,Sensor Network,True,2025-11-30 00:50:16,SEN120,Occupied,Matched,2025-11-30 00:52:23
AUD300020,T100020,,None,,,Enforcement App,True,2025-12-01 11:17:56,SEN235,Occupied,Review Needed,2025-12-01 11:22:07
AUD300021,T100021,,None,,,Permit Portal,True,2026-01-28 04:59:56,SEN559,Vacant,Matched,2026-01-28 05:02:45
AUD300022,T100022,,None,,,Permit Portal,True,2025-12-07 03:13:34,SEN875,Occupied,Matched,2025-12-07 03:18:24
AUD300023,T100023,,None,,,Enforcement App,True,2026-02-16 09:36:06,SEN776,Occupied,Matched,2026-02-16 09:37:51
AUD300024,T100024,,None,,,Enforcement App,True,2026-02-26 11:11:42,SEN423,Occupied,Matched,2026-02-26 11:11:46
AUD300025,T100025,,None,,,Permit Portal,True,2026-02-24 09:55:11,SEN759,Occupied,Pending,2026-02-24 09:57:10
AUD300026,T100026,,None,,,Sensor Network,True,2026-02-14 03:50:23,SEN829,Occupied,Review Needed,2026-02-14 03:54:05
AUD300027,T100027,,None,,,Enforcement App,True,2026-01-31 05:21:24,SEN291,Occupied,Matched,2026-01-31 05:22:50
AUD300028,T100028,,None,,,Payment Gateway,True,2025-12-16 12:28:27,SEN975,Occupied,Pending,2025-12-16 12:29:58
AUD300029,T100029,,None,,,Permit Portal,True,2026-01-08 01:30:51,SEN429,Occupied,Matched,2026-01-08 01:33:43
AUD300030,T100030,,None,,,Payment Gateway,True,2025-11-23 17:30:07,SEN714,Occupied,Review Needed,2025-11-23 17:32:29
AUD300031,T100031,,None,,,Enforcement App,True,2026-02-22 01:54:44,SEN321,Occupied,Matched,2026-02-22 01:54:52
AUD300032,T100032,,None,,,Sensor Network,True,2026-01-31 09:51:37,SEN225,Occupied,Matched,2026-01-31 09:55:14
AUD300033,T100033,,None,,,Sensor Network,True,2026-01-31 05:13:09,SEN468,Occupied,Matched,2026-01-31 05:14:23
AUD300034,T100034,,None,,,Permit Portal,True,2025-12-23 13:27:29,SEN804,Occupied,Matched,2025-12-23 13:31:26
